B-01,B-02,B-03,B-04,B-05,B-06,B-07,B-08,B-09,B-10,B-11,B-12,B-13,B-14,B-15,B-16,B-17,B-18,B-19,B-20,B-21,B-22,B-23,B-24,B-25,B-26,B-27,B-28,B-29,B-30,B-31,B-32,B-33,B-34,B-35,B-36,B-37,Batch name,Batch CIE L,Batch CIE a,Batch CIE b,CIE DL,CIE Da,CIE Db,CIE DE,Findings
,0.0,,,,,,,,,8.0,,1.7,,,,,,,,,,,,,,,,,,,,0.07,,,,,4,49.24,14.05,20.14,-0.63,-0.48,-0.97,1.25,1
,0.2,,,,,,,,,8.0,,1.7,,,,,,,,,,,,,,,,,,,,0.068,,,,,5,49.87,14.0,20.58,0.0,-0.53,-0.53,0.75,1
3.6,,,,,,,,,,,,,,,,,0.1,,,0.2,,,,,,,,,,,,0.6,,,,,1,35.7,-1.55,-4.55,0.46,-0.03,-0.18,0.49,2
3.6,,,,,,,,,,,,,,,,,0.107,,,0.2,,,,,,,,,,,,0.64,,,,,2,35.05,-1.54,-4.37,-0.2,-0.03,0.0,0.2,0
3.6,,,,,,,,,,,,,,,,,0.1045,,,0.195,,,,,,,,,,,,0.625,,,,,3,35.2,-1.57,-4.34,-0.04,-0.05,0.03,0.08,0
15.0,,,,,,,0.00514,,,2.2,,0.072,,,,,,,,,,,,,,,,,,,,0.002,,,,,1,83.37,5.35,22.44,-0.8,-0.53,-0.25,0.99,1
15.0,,,,,,,0.00514,,,2.2,,0.07,,,,,,,,,,,,,,,,,,,,0.002,,,,,2,84.53,6.64,22.12,0.36,0.77,-0.57,1.02,1
15.0,,,,,,,0.00514,,,2.2,,0.07,,,,,,,,,,,,,,,,,,,,0.002,,,,,3,84.18,6.1,23.31,0.01,0.22,0.62,0.66,1
15.0,,,,,,,0.00514,,,2.2,,0.07,,,,,0.0006,,,,,,,,,,,,,,,0.002,,,,,4,84.25,5.89,22.67,0.08,0.02,-0.01,0.08,0
,20.0,,,,,,,,,,,0.003,,,,,,,,,,0.015,,,,,,,,,,,,,,0.0002,1,97.96,-0.42,1.78,1.72,-0.32,0.82,1.93,1
,20.0,,,,,,,,,,,0.003,,,,,,,,,,0.0,,,,,,,,,,,,,,0.0008,2,96.87,-0.09,1.39,0.63,0.01,0.43,0.76,1
,20.0,,,,,,,,,,,0.003,,,,,,,,,,0.006,,,,,,,,,,,,,,0.00056,3,96.16,-0.2,1.08,-0.09,-0.1,0.12,0.18,0
,10.0,,,,,,,,,,,0.0,,,,,,,,,,,,,,,0.002,,,,,0.001,,,,,1,91.93,-0.9,0.46,0.04,-0.01,-0.06,0.07,0
,10.0,,,,,,,,,,,0.0003,,,,,,,,,,,,,,,0.002,,,,,0.001,,,,,2,91.64,-0.6,0.53,-0.25,0.29,0.02,0.39,2
,10.0,,,,,,,,,,,0.0003,,,,,,,,,,,,,,,0.0015,,,,,0.001,,,,,3,92.03,-0.42,1.22,0.14,0.47,0.7,0.86,1
,10.0,,,,,,,,,,,0.00015,,,,,,,,,,,,,,,0.0018,,,,,0.001,,,,,4,92.13,-0.65,0.67,0.23,0.24,0.15,0.37,0
,10.0,,,,,,,,,,,0.00015,,,,,,,,,,,,,,,0.0015,,,,,0.001,,,,,5,92.42,-0.89,0.8,0.53,0.0,0.29,0.6,1
,10.0,,,,,,,,,,,0.0,,,,,,,,,,,,,,,0.0015,,,,,0.001,,,,,6,92.27,-0.77,0.77,0.37,0.12,0.26,0.47,2
11.0,,,,,,,,,,,,,,,,0.005,,,,,,0.19,,,,,,,,,,0.08,,,,,1,67.71,-1.41,-2.78,2.34,-0.14,-0.46,2.39,1
10.0,,,,,,,,,,,,,,,,0.004,,,,,,0.18,,,,,,,,,,0.09,,,,,2,65.27,-1.23,-2.72,-0.11,0.05,-0.4,0.42,2
10.0,,,,,,,,,,,,,,,,0.005,,,,,,0.0,,,,,,,,,,0.086,,,,,3,66.25,-0.88,-1.89,0.88,0.39,0.43,1.05,1
10.0,,,,,,,,,,,,,,,,0.005,,,,,,0.086,,,,,,,,,,0.0886,,,,,4,65.68,-1.12,-2.3,0.3,0.15,0.02,0.34,0
10.0,,,,,,,,,,,,,,,,0.007,,,,,,0.0875,,,,,,,,,,0.09,,,,,5,65.5,-1.18,-2.36,0.12,0.1,-0.04,0.16,0
,10.6,,,,,,,,,3.46,,,,,,,,,,,,,,,,,,,,,,0.343,,,,,1,52.49,-0.71,4.46,0.72,0.06,0.14,0.74,1
,10.6,,,,,,,,,3.46,,,,,,,,,,,,,,,,,,,,,,0.367,,,,,2,51.34,-0.68,4.01,-0.43,0.09,-0.31,0.53,1
,10.6,,,,,,,,,3.46,,,,,,,,,,,,,,,,,,,,,,0.343,,,,,3,51.9,-0.73,4.22,0.13,0.04,-0.11,0.17,0
,10.0,,,,,,,,,0.58,,0.021,,,,,,,,,,,,,,,,,,,,0.016,,,,,1,80.72,0.16,6.82,1.01,0.22,-0.13,1.04,1
,10.0,,,,,,,,,0.638,,0.02,,,,,,,,,,,,,,,,,,,,0.017,,,,,2,79.95,0.08,8.19,0.25,0.14,1.24,1.27,1
,10.0,,,,,,,,,0.44,,0.019,,,,,,,,,,,,,,,,,,,,0.0175,,,,,3,80.21,-0.08,6.05,0.5,-0.02,-0.9,1.03,1
,10.0,,,,,,,,,0.53,,0.019,,,,,,,,,,,,,,,,,,,,0.0175,,,,,4,79.79,-0.12,6.82,0.08,-0.06,-0.13,0.17,0
,10.0,,,,,,,,,0.53,,0.019,,,,,,,,,,,,,,,,,,,,0.0175,,,,,5,79.82,-0.08,6.94,0.12,-0.02,-0.01,0.12,0
,10.0,,,,,,,,,0.38,,0.015,,,,,,,,,,,,,,,,,,,,0.083,,,,,1,69.74,-0.47,0.75,2.57,0.16,0.44,2.61,1
,10.0,,,,,,,,,0.42,,0.015,,,,,,,,,,,,,,,,,,,,0.095,,,,,2,68.8,-0.47,0.61,1.63,0.16,0.3,1.67,1
,10.0,,,,,,,,,0.483,,0.018,,,,,,,,,,,,,,,,,,,,0.11,,,,,3,66.94,-0.53,0.57,-0.23,0.1,0.26,0.36,0
,10.0,,,,,,,,,0.47,,0.018,,,,,,,,,,,,,,,,,,,,0.1,,,,,4,68.36,-0.47,0.67,1.19,0.16,0.36,1.25,1
,3.6,,,,,,,,,0.79,,0.088,,,,,,,,,,,,,,,,,,,,0.62,,,,,1,36.74,-0.08,-1.73,-1.7,0.06,-0.15,1.71,1
,4.0,,,,,,,,,0.75,,0.078,,,,,,,,,,,,,,,,,,,,0.55,,,,,2,38.07,-0.13,-1.7,-0.36,0.01,-0.13,0.38,2
,4.4,,,,,,,,,0.76,,0.078,,,,,,,,,,,,,,,,,,,,0.55,,,,,3,38.61,-0.13,-1.59,0.17,0.02,-0.01,0.17,0
