B-01,B-02,B-03,B-04,B-05,B-06,B-07,B-08,B-09,B-10,B-11,B-12,B-13,B-14,B-15,B-16,B-17,B-18,B-19,B-20,B-21,B-22,B-23,B-24,B-25,B-26,B-27,B-28,B-29,B-30,B-31,B-32,B-33,B-34,B-35,B-36,B-37,Batch name,Batch CIE L,Batch CIE a,Batch CIE b,CIE DL,CIE Da,CIE Db,CIE DE,Findings
,4.5,,,,,,,,,,,,,,,,0.3,,,2.25,,,,,,,,,,,,1.066,,,,,4,30.75,-1.45,-6.18,-0.18,-0.01,-0.21,0.27,0
,0.25,,,,,,,,,,,,,,,,,,,1.1,,,,,,,0.0,,,,,0.18,,,,,1,32.15,-1.72,-11.07,2.47,-0.59,-0.66,2.62,1
,0.25,,,,,,,,,,,,,,,,,,,1.1,,,,,,,0.0,,,,,0.234,,,,,2,31.32,-1.6,-9.18,1.64,-0.47,1.23,2.1,1
,0.25,,,,,,,,,,,,,,,,,,,1.2,,,,,,,0.3,,,,,0.27,,,,,3,30.32,-0.58,-9.43,0.64,0.56,0.98,1.3,1
,0.25,,,,,,,,,,,,,,,,,,,1.4,,,,,,,0.2,,,,,0.245,,,,,4,30.05,-0.57,-9.4,0.37,0.56,1.01,1.21,1
,0.25,,,,,,,,,,,,,,,,,,,1.43,,,,,,,0.174,,,,,0.213,,,,,5,30.4,-0.64,-10.56,0.72,0.5,-0.15,0.88,1
,0.25,,,,,,,,,,,,,,,,,,,1.26,,,,,,,0.087,,,,,0.2235,,,,,6,30.52,-1.04,-9.76,0.83,0.1,0.65,1.06,1
,,1.0,,,,,,,,,,,,,,,,,,0.118,,,,,,,0.036,,,,,0.5,,,,,1,32.25,-0.34,-2.97,-0.1,0.38,0.68,0.79,1
,,1.0,,,,,,,,,,,,,,,,,,0.13,,,,,,,0.036,,,,,0.48,,,,,2,31.73,-0.57,-3.19,-0.62,0.15,0.46,0.79,1
,,1.5,,,,,,,,,,,,,,,,,,0.18,,,,,,,0.0,,,,,0.46,,,,,3,32.65,-0.68,-3.48,0.3,0.04,0.17,0.35,0
,8.0,,,,,,,,,4.2,,0.5,,,,,,,,,,,,,,,,,,,,0.155,,,,,1,57.89,3.45,10.64,-2.49,0.2,-1.13,2.74,1
,10.0,,,,,,,,,5.0,,0.4,,,,,,,,,,,,,,,,,,,,0.15,,,,,2,60.3,2.74,11.53,-0.09,-0.51,-0.24,0.57,1
,10.0,,,,,,,,,5.0,,0.52,,,,,,,,,,,,,,,,,,,,0.16,,,,,3,61.01,3.83,12.36,0.62,0.58,0.59,1.03,1
,10.0,,,,,,,,,4.85,,0.46,,,,,,,,,,,,,,,,,,,,0.145,,,,,4,60.4,3.17,11.61,0.02,-0.08,-0.16,0.18,0
,,0.64,,,,,,,,,,,0.23,,,,,,,,,,,,,1.4,0.1,,,,,0.49,,,,,1,30.2,4.52,-5.06,-0.31,0.15,-0.72,0.79,1
,,0.64,,,,,,,,,,,0.23,,,,,,,,,,,,,1.4,0.09,,,,,0.54,,,,,2,30.16,4.17,-4.76,-0.35,-0.21,-0.42,0.59,1
,,0.64,,,,,,,,,,,0.23,,,,,,,,,,,,,1.4,0.095,,,,,0.515,,,,,3,30.08,4.41,-5.0,-0.43,0.04,-0.67,0.79,0
,,0.8,,,,,,,,,,,0.325,,,,,,,,,,,,,0.5,0.0,,,,,0.495,,,,,4,30.44,4.35,-4.25,-0.07,-0.03,0.09,0.117898261,0
,,0.48,,,,,,,,,,,0.15,,,,,,,,,,,,,2.39,0.2,,,,,0.49,,,,,5,28.75,4.66,-4.67,-1.76,0.28,-0.33,1.812429309,1
,,0.572,,,,,,,,,,,0.24,,,,,,,,,,,,,1.9,0.0,,,,,0.5,,,,,6,29.45,5.16,-4.51,-1.06,0.78,-0.17,1.326989073,1
,,0.575,,,,,,,,,,,0.25,,,,,,,,,,,,,2.0,0.0,,,,,0.49,,,,,7,29.01,5.27,-5.13,-1.5,0.89,-0.79,1.914732357,1
,,16.0,,,,,,,,,,1.0,,,,,,,,,,,,,12.0,,,,,,,0.195,,,,,1,54.85,5.42,-2.3,1.48,-1.2,-1.92,2.7,1
,,16.0,,,,,,,,,,1.3,,,,,,,,,,,,,10.0,,,,,,,0.18,,,,,2,54.7,6.45,-0.94,1.33,-0.16,-0.56,1.45,1
,,16.0,,,,,,,,,,1.35,,,,,,,,,,,,,10.0,,,,,,,0.18,,,,,3,54.51,6.75,-0.66,1.14,0.13,-0.27,1.18,1
,,16.0,,,,,,,,,,1.431,,,,,,,,,,,,,10.6,,,,,,,0.1908,,,,,4,55.02,6.7,-0.71,1.65,0.09,-0.33,1.69,1
,10.0,,,,,,,,,,,0.08,,,,,,,,,,,,,,,,,,,,0.06,,,,,1,71.43,0.87,2.53,2.86,-0.65,0.79,3.03,1
,10.0,,,,,,,,,,,0.156,,,,,,,,,,,,,,,,,,,,0.08,,,,,2,67.57,1.76,2.36,-1.0,0.24,0.61,1.2,1
,10.0,,,,,,,,,,,0.132,,,,,,,,,,,,,,,,,,,,0.074,,,,,3,67.92,1.36,1.93,-0.65,-0.16,0.19,0.7,1
,10.0,,,,,,,,,,,0.132,,,,,,,,,,,,,,,,,,,,0.068,,,,,4,68.95,1.48,2.33,0.38,-0.04,0.58,0.7,1
,10.0,,,,,,,,,,,0.134,,,,,,,,,,,,,,,,,,,,0.07,,,,,5,68.85,1.51,1.7,0.28,0.0,-0.04,0.28,0
,10.0,,,,,,,,,,,0.128,,,,,,,,,,,,,,,,,,,,0.073,,,,,6,69.05,1.45,1.78,0.48,-0.07,0.04,0.48,2
,10.0,,,,,,,,,0.75,,0.068,,,,,,,,,,,,,,,,,,,,0.0255,,,,,1,75.95,1.37,7.43,-1.52,-0.03,0.48,1.59,1
,10.0,,,,,,,,,0.57,,0.0591,,,,,,,,,,,,,,,,,,,,0.022,,,,,2,77.04,1.19,6.51,-0.44,-0.21,-0.44,0.65,1
,10.0,,,,,,,,,0.572,,0.05956,,,,,,,,,,,,,,,,,,,,0.02,,,,,3,77.68,1.42,6.78,0.21,0.02,-0.17,0.27,0
,10.0,,,,,,,,,0.575,,0.0587,,,,,,,,,,,,,,,,,,,,0.02,,,,,4,77.47,1.44,6.94,0.0,0.04,-0.01,0.04,0
,,8.5,,,,,,,,0.67,,0.12,,,,,,,,,,,,,,,,,,,,0.03,,,,,1,73.11,2.44,5.76,1.56,-0.14,-0.26,1.59,1
,,7.8,,,,,,,,0.72,,0.12,,,,,,,,,,,,,,,,,,,,0.03,,,,,2,72.4,2.55,6.23,0.84,-0.03,0.21,0.87,1
,,7.5,,,,,,,,0.75,,0.117,,,,,,,,,,,,,,,,,,,,0.03,,,,,3,71.76,2.53,6.78,0.21,-0.05,0.76,0.79,1
,,7.2,,,,,,,,0.78,,0.114,,,,,,,,,,,,,,,,,,,,0.03,,,,,4,72.05,2.58,6.55,0.5,-0.01,0.52,0.72,1
,4.0,,,,,,,,,1.7,,0.34,,,,,,,,,,,,,,,,,,,,0.637,,,,,1,38.79,0.53,-0.1,1.15,0.11,0.24,1.17,1
,4.0,,,,,,,,,1.68,,0.34,,,,,,,,,,,,,,,,,,,,0.7,,,,,2,37.08,0.35,-0.5,-0.56,-0.07,-0.16,0.59,1
,4.0,,,,,,,,,1.68,,0.34,,,,,,,,,,,,,,,,,,,,0.648,,,,,3,37.57,0.43,-0.47,-0.07,0.01,-0.13,0.15,0
,,10.0,,,,,,,,0.4,,0.01,,,,,,,,,,,,,,,,,,,,0.017,,,,,1,80.12,-0.43,5.26,-0.98,-0.19,1.49,1.8,1
,,10.0,,,,,,,,0.2,,0.027,,,,,,,,,,,,,,,,,,,,0.0148,,,,,2,81.84,-0.45,2.77,0.74,-0.21,-0.99,1.25,1
,,10.0,,,,,,,,0.258,,0.0126,,,,,,,,,,,,,,,,,,,,0.0153,,,,,3,81.31,-0.28,3.55,0.2,-0.04,-0.22,0.3,0
,,10.0,,,,,,,,0.266,,0.0143,,,,,,,,,,,,,,,,,,,,0.0153,,,,,4,81.03,-0.27,3.77,-0.07,-0.03,0.0,0.07,0
,10.0,,,,,,,,,1.0,,0.06,,,,,,,,,,,,,,,,,,,,0.1,,,,,1,64.6,0.02,3.48,1.69,0.24,0.17,1.72,1
,10.0,,,,,,,,,1.1,,0.06,,,,,,,,,,,,,,,,,,,,0.115,,,,,2,63.84,-0.04,3.46,0.93,0.18,0.15,0.96,1
,10.0,,,,,,,,,1.1,,0.06,,,,,,,,,,,,,,,,,,,,0.126,,,,,3,62.61,-0.09,2.96,-0.3,0.13,-0.35,0.47,2
,10.0,,,,,,,,,1.13,,0.05,,,,,,,,,,,,,,,,,,,,0.123,,,,,4,63.31,-0.18,3.1,0.4,0.03,-0.21,0.45,2
,10.0,,,,,,,,,1.15,,0.05,,,,,,,,,,,,,,,,,,,,0.1245,,,,,5,63.19,-0.18,3.08,0.28,0.04,-0.23,0.37,0
,16.0,,,,,,,,,0.045,,,,,,0.001,,,,,,,,,,,,,,,,0.091,,,,,1,72.36,-0.85,2.04,2.62,-0.06,-1.17,2.87,1
,16.0,,,,,,,,,0.048,,,,,,0.004,,,,,,,,,,,,,,,,0.09,,,,,2,69.92,-0.6,2.53,0.18,0.19,-0.68,0.73,1
,16.0,,,,,,,,,0.0534,,,,,,0.0042,,,,,,,,,,,,,,,,0.0945,,,,,3,70.0,-0.39,3.27,0.27,0.4,0.07,0.49,2
,16.0,,,,,,,,,0.048,,,,,,0.004,,,,,,,,,,,,,,,,0.09,,,,,4,70.2,-1.06,3.14,0.47,-0.27,-0.07,0.54,1
,10.0,,,,,,,,,0.7,,0.01,,,,,,,,,,,,,,,,,,,,0.03,,,,,1,75.13,1.02,5.38,1.07,0.04,-0.12,1.08,1
,10.0,,,,,,,,,0.56,,0.05,,,,,,,,,,,,,,,,,,,,0.03,,,,,2,74.94,1.04,5.52,0.88,0.06,0.02,0.88,1
,10.0,,,,,,,,,0.595,,0.063,,,,,,,,,,,,,,,,,,,,0.0315,,,,,3,74.49,0.97,5.42,0.44,-0.01,-0.08,0.45,2
,10.0,,,,,,,,,2.0,,0.5,,,,,,,,,,,,,,,,,,,,0.8,,,,,1,42.12,0.57,-0.02,1.91,0.41,0.29,1.97,1
,10.0,,,,,,,,,2.0,,0.5,,,,,,,,,,,,,,,,,,,,1.0,,,,,2,39.78,0.42,-0.22,-0.44,0.25,0.1,0.51,1
